score;score_exam;subject_id;level_id;comment_id
7;40;2;2;4
8;46;2;2;4
9;52;2;2;4
10;58;2;2;4
11;64;2;2;4
12;70;2;2;4
13;72;2;2;4
14;74;2;2;4
15;76;2;2;4
16;78;2;2;4
17;80;2;2;3
18;82;2;2;3
19;84;2;2;3
20;86;2;2;3
21;88;2;2;3
22;90;2;2;3
23;92;2;2;3
24;94;2;2;3
25;95;2;2;3
26;96;2;2;3
27;97;2;2;3
28;98;2;2;3
29;99;2;2;3
30;100;2;2;3
31;100;2;2;3
32;100;2;2;3
1;7;1;2;5
2;14;1;2;5
3;20;1;2;5
4;27;1;2;5
5;34;1;2;5
6;40;1;2;1
7;43;1;2;1
8;46;1;2;2
9;48;1;2;2
10;51;1;2;4
11;54;1;2;4
12;56;1;2;4
13;59;1;2;4
14;62;1;2;4
15;64;1;2;4
16;67;1;2;4
17;70;1;2;4
18;72;1;2;4
19;75;1;2;4
20;78;1;2;4
21;80;1;2;5
22;83;1;2;5
23;85;1;2;5
24;88;1;2;5
25;90;1;2;5
26;93;1;2;5
27;95;1;2;5
28;98;1;2;5
29;100;1;2;5
