task_list;title;order
63;Листы бумаги;0
63;Печи;1
63;Дороги;2
63;Шины;3
63;Мобильная связь;4
63;План квартиры;5
63;План участка;6
68;Действия с обыкновенными дробями;0
68;Действия с десятичными дробями;1
68;Комбинированные задания;2
69;Сравнение с нулем;0
69;Дроби;1
69;Корни;2
70;Свойства степеней;0
70;Свойства корней;1
70;Формулы сокращенного умножения;2
71;Линейные уравнения;0
71;Полные квадратные уравнения;1
71;Неполные квадратные уравнения;2
73;Линейные функции;0
73;Квадратичные функции;1
73;Комбинированные задания;2
74;Базовые формулы;0
74;Формулы с дробями;1
74;Формулы со степенями;2
75;Линейные неравенства;0
75;Квадратичные неравенства;1
75;Метод интервалов;2
75;Системы неравенств;3
76;Арифметическая прогрессия;0
76;Геометрическая прогрессия;1
77;Углы в треугольниках;0
77;Прямоугольные треугольники;1
77;Равносторонние треугольники;2
77;Площади треугольников;3
77;Средние линии треугольников;4
77;Равнобедренные треугольники;5
77;Медианы, биссектрисы и высоты;6
78;Центральные и вписанные углы;0
78;Описанные окружности;1
78;Вписанные окружности;2
78;Касательные к окружности;3
78;Теорема синусов;4
79;Параллелограммы;0
79;Трапеции;1
79;Прямоугольники;2
79;Ромбы;3
79;Квадраты;0
80;Длины отрезков;1
80;Площади фигур;2
80;Отрезки;3
80;Расстояние между точками;4
80;Средние линии;5
80;Площади окружностей;6
82;Значения выражений;0
82;Разложение на множители;1
82;Замена переменной;2
82;Специальные свойства;3
82;Системы уравнений;4
82;Неравенства;5
83;Проценты;0
83;Движение по воде;1
83;Средняя скорость;2
83;Движение по прямой;3
83;Движение по окружности;4
83;Рабочие и трубы;5
83;Поезда;0
84;Функции с модулем;1
84;Кусочные функции;2
84;Гиперболы;3
84;Параболы;4
85;Параллелограммы;0
85;Ромбы;1
85;Трапеции;2
85;Прямоугольные треугольники;3
85;Окружности;4
86;Подобие треугольников;0
86;Биссектрисы;1
86;Окружности;2
86;Площади;3
86;Свойства параллелограммов;4
86;Свойства трапеций;5
87;Трапеции;0
87;Параллелограммы;1
87;Треугольники;2
87;Окружности;3
87;Разные задачи;4
44;Треугольники;0
44;Четырехугольники;1
44;Окружность;2
45;Длины векторов;0
45;Скалярное произведение по координатам;1
45;Скалярное произведение через длины;2
46;Призмы;0
46;Пирамиды;1
46;Тела вращения;2
49;Иррациональные уравнения;0
49;Показательные уравнения;1
49;Логарифмические уравнения;2
50;Свойства степеней;0
50;Свойства Корней;1
50;Свойства логарифмов;2
50;Тригонометрия;3
51;Геометрический смысл производной, касательная;0
51;Применение производной к исследованию функций;1
52;Линейные модели;0
52;Квадратичные модели;1
52;Дробно-рациональные модели;2
52;Формулы со степенями и корнями;3
52;Показательные модели;4
52;Логарифмические модели;5
52;Формулы с тригонометрией;6
53;Задачи на движение по прямой;0
53;Задачи на движение по воде;1
53;Задачи на совместную работу;2
53;Задачи на сплавы и смеси;3
53;Другие задачи банка ФИПИ;4
54;Линейные функции;0
54;Параболы;1
54;Гиперболы;2
54;Логарифмические функции;3
54;Показательные функции ;4
54;Функция корня;5
54;Пересечение графиков;6
55;Степенные и иррациональные функции;0
55;Логарифмические и показательные функции;1
55;Тригонометрические функции;2
55;Исследование произведений;3
56;Тригонометрические уравнения: разложение на множители;0
56;Тригонометрические уравнения: замена переменной;1
56;Тригонометрические уравнения: исследование ОДЗ;2
56;Однородные тригонометрические уравнения;3
56;Показательные уравнения с тригонометрией;4
56;Логарифмические уравнения с тригонометрией ;5
58;Рациональные неравенства относительно показательной функции;0
58;Рациональные неравенства относительно логарифмической функции;1
58;Логарифмические неравенства ;2
58;Смешанные неравенства ;3
59;Кредиты: уменьшение долга;0
59;Кредиты: платежи;1
59;Вклады;2
59;Оптимизация;3
61;Уравнения с модулем;0
61;Рациональные уравнения;1
61;Логарифмические уравнения;2
61;Тригонометрические уравнения;3
61;Показательные уравнения;4
61;Системы: окружность и прямая;5
61;Системы: парабола и прямая;6
61;Системы с модулем;7
61;Системы с корнем;8
61;Логарифмические системы;9
61;Системы неравенств на отрезке;10
29;Символьное сообщение;0
29;Сообщение из цифр;1
30;Истинные высказывания;0
30;Ложные высказывания;1
31;Обычный путь;0
31;Путь с обязательным посещением города;1
33;Классические задачи;0
33;Задачи с параметром;1
37;Перевод из десятичной системы счисления;0
37;Перевод в десятичную систему счисления;1
43;Поиск минимального числа;0
43;Поиск максималного числа;1
43;Поиск количества чисел;2
43;Поиск суммы чисел;3
43;Работа с системами счисления;4
4;Поиск кода для одной или нескольких букв;0
4;Поиск количества букв для кодирования слова;1
4;Другие типы задач;2
5;Двоичная система;0
5;Десятичная система;1
5;Другие системы счисления;2
6;Объединение фигур;0
6;Пересечение фигур;1
7;Объём изображения;0
7;Объём звукового файла;1
7;Передача данных;2
8;Подсчет количества слов;0
8;Список слов;1
14;Поиск неизвестного Х (число);0
14;Поиск неизвестного Х (цифра);1
14;Поиск количества знаков;2
15;Отрезки;0
15;Множества;1
15;Неравенства;2
15;Делители;3
15;Поразрядная конъюнкция;4
15;Смешанные задачи;5
17;Пары чисел;0
17;Тройки чисел;1
18;Одна куча;0
18;Две кучи;1
22;Минимальное время;0
22;Количество одновременных процессов;1
22;Промежуток времени;2
23;Количество программ с обязательным числом;0
23;Количество программ с избегаемым числом;1
23;Смешнные задачи;2
25;Делители числа;0
25;Маски чисел;1
26;Деревья;0
26;Коробки;1
26;Тарифы;2
26;Архивы;3
26;Багаж;4
26;Время мероприятий;5
26;Другие типы задач;6
